Time,Latitude,Longitude,counts
1746051536.99,0,0,244.0
1746051539.0,0,0,227.5
1746051540.97,0,0,227.5
1746051542.99,0,0,238.0
1746051545.0,0,0,207.0
1746051546.99,0,0,240.5
1746051548.97,0,0,240.5
1746051550.99,0,0,250.0
1746051552.99,0,0,227.5
1746051554.99,0,0,232.5
1746051556.99,0,0,246.0
1746051558.97,0,0,246.0
1746051560.99,0,0,218.0
1746051562.99,0,0,236.0
1746051564.99,0,0,224.0
1746051566.99,0,0,249.0
1746051568.97,0,0,249.0
1746051570.99,0,0,252.5
1746051572.99,0,0,210.0
1746051574.99,0,0,229.5
1746051576.97,0,0,229.5
1746051578.99,0,0,226.5
1746051580.99,0,0,218.0
1746051582.99,0,0,226.5
1746051584.99,0,0,235.0
1746051586.98,0,0,235.0
1746051588.99,0,0,232.5
1746051590.99,0,0,238.0
1746051592.99,0,0,233.5
1746051594.97,0,0,233.5
1746051596.99,0,0,223.0
1746051598.99,0,0,240.5
1746051600.99,0,0,237.0
1746051602.99,0,0,227.0
1746051604.97,0,0,227.0
1746051607.0,0,0,241.5
1746051608.99,0,0,245.0
1746051610.99,0,0,250.0
1746051612.99,0,0,248.0
1746051614.98,0,0,248.0
1746051616.99,0,0,231.5
1746051618.99,0,0,235.5
1746051620.99,0,0,215.5
1746051622.99,0,0,234.5
1746051624.96,0,0,234.5
1746051626.99,0,0,221.5
1746051628.99,0,0,225.5
1746051630.99,0,0,224.0
1746051633.0,0,0,224.0
1746051634.99,0,0,248.0
1746051636.99,0,0,225.5
1746051638.99,0,0,219.0
1746051640.99,0,0,229.5
1746051642.97,0,0,229.5
1746051644.99,0,0,228.0
1746051646.99,0,0,246.5
1746051648.99,0,0,229.5
1746051650.97,0,0,229.5
1746051652.99,0,0,223.0
1746051654.99,0,0,252.5
1746051656.99,0,0,230.0
