Time,Latitude,Longitude,counts
1746052887.78,0,0,30002.0
1746052889.75,0,0,269.5
1746052891.75,0,0,249.5
1746052893.72,0,0,249.5
1746052895.75,0,0,269.0
1746052897.75,0,0,270.0
1746052899.75,0,0,257.5
1746052901.76,0,0,243.5
1746052903.73,0,0,243.5
1746052905.75,0,0,229.0
1746052907.77,0,0,285.0
1746052909.75,0,0,265.5
1746052911.75,0,0,267.5
1746052913.73,0,0,267.5
1746052915.75,0,0,250.5
1746052917.76,0,0,255.5
1746052919.75,0,0,226.0
1746052921.73,0,0,226.0
1746052923.75,0,0,265.5
1746052925.75,0,0,245.5
1746052927.75,0,0,265.5
1746052929.75,0,0,258.0
1746052931.74,0,0,258.0
1746052933.75,0,0,300.5
1746052935.75,0,0,267.0
1746052937.76,0,0,255.5
1746052939.73,0,0,255.5
1746052941.77,0,0,280.0
1746052943.75,0,0,290.0
1746052945.75,0,0,267.0
1746052947.75,0,0,263.0
1746052949.73,0,0,263.0
1746052951.75,0,0,264.0
1746052953.75,0,0,275.5
1746052955.75,0,0,275.0
1746052957.73,0,0,275.0
1746052959.75,0,0,274.0
1746052961.76,0,0,231.5
1746052963.75,0,0,262.0
1746052965.75,0,0,267.5
1746052967.73,0,0,267.5
1746052969.75,0,0,280.0
1746052971.76,0,0,248.0
1746052973.76,0,0,269.0
1746052975.75,0,0,264.5
1746052977.73,0,0,264.5
1746052979.75,0,0,274.0
1746052981.75,0,0,271.5
1746052983.75,0,0,274.5
1746052985.73,0,0,274.5
1746052987.75,0,0,269.0
1746052989.75,0,0,260.0
1746052991.77,0,0,275.0
1746052993.75,0,0,262.0
1746052995.73,0,0,262.0
1746052997.75,0,0,257.0
1746052999.75,0,0,276.0
1746053001.75,0,0,271.5
1746053003.75,0,0,270.5
1746053005.74,0,0,270.5
