Time,Latitude,Longitude,counts
1746052436.54,0,0,258.5
1746052438.54,0,0,286.5
1746052440.54,0,0,274.0
1746052442.56,0,0,278.5
1746052444.55,0,0,278.5
1746052446.54,0,0,267.5
1746052448.54,0,0,288.0
1746052450.54,0,0,262.5
1746052452.52,0,0,262.5
1746052454.54,0,0,274.5
1746052456.55,0,0,293.0
1746052458.55,0,0,287.0
1746052460.54,0,0,276.5
1746052462.52,0,0,276.5
1746052464.54,0,0,289.0
1746052466.54,0,0,263.0
1746052468.54,0,0,292.5
1746052470.52,0,0,292.5
1746052472.54,0,0,254.5
1746052474.54,0,0,293.0
1746052476.54,0,0,275.0
1746052478.54,0,0,270.0
1746052480.52,0,0,270.0
1746052482.54,0,0,268.0
1746052484.54,0,0,295.0
1746052486.54,0,0,294.0
1746052488.54,0,0,284.0
1746052490.52,0,0,284.0
1746052492.54,0,0,313.0
1746052494.54,0,0,293.0
1746052496.54,0,0,247.5
1746052498.54,0,0,277.5
1746052500.51,0,0,277.5
1746052502.54,0,0,274.0
1746052504.55,0,0,268.0
1746052506.54,0,0,272.0
1746052508.52,0,0,272.0
1746052510.55,0,0,285.5
1746052512.55,0,0,284.5
1746052514.55,0,0,286.5
1746052516.54,0,0,267.5
1746052518.52,0,0,267.5
1746052520.54,0,0,279.0
1746052522.54,0,0,273.0
1746052524.54,0,0,294.5
1746052526.52,0,0,294.5
1746052528.54,0,0,275.0
1746052530.54,0,0,278.5
1746052532.54,0,0,264.5
1746052534.54,0,0,297.5
1746052536.52,0,0,297.5
1746052538.54,0,0,279.5
1746052540.54,0,0,256.5
1746052542.54,0,0,264.0
1746052544.54,0,0,281.5
1746052546.54,0,0,281.5
1746052548.54,0,0,281.0
1746052550.54,0,0,282.0
1746052552.54,0,0,287.0
1746052554.52,0,0,287.0
