Time,Latitude,Longitude,counts
1746052252.84,0,0,285.5
1746052254.84,0,0,273.5
1746052256.84,0,0,282.5
1746052258.81,0,0,282.5
1746052260.85,0,0,258.5
1746052262.84,0,0,261.0
1746052264.85,0,0,268.0
1746052266.82,0,0,268.0
1746052268.84,0,0,283.5
1746052270.85,0,0,263.5
1746052272.84,0,0,285.5
1746052274.84,0,0,284.0
1746052276.82,0,0,284.0
1746052278.86,0,0,275.5
1746052280.85,0,0,284.5
1746052282.84,0,0,266.0
1746052284.84,0,0,257.0
1746052286.82,0,0,257.0
1746052288.84,0,0,277.0
1746052290.85,0,0,279.5
1746052292.84,0,0,285.0
1746052294.82,0,0,285.0
1746052296.85,0,0,284.5
1746052298.84,0,0,284.0
1746052300.85,0,0,264.0
1746052302.84,0,0,276.0
1746052304.83,0,0,276.0
1746052306.84,0,0,267.5
1746052308.84,0,0,295.5
1746052310.84,0,0,278.0
1746052312.84,0,0,286.0
1746052314.83,0,0,286.0
1746052316.85,0,0,277.0
1746052318.84,0,0,277.0
1746052320.84,0,0,320.0
1746052322.82,0,0,320.0
1746052324.84,0,0,275.0
1746052326.85,0,0,279.0
1746052328.84,0,0,285.0
1746052330.84,0,0,272.5
1746052332.82,0,0,272.5
1746052334.84,0,0,273.0
1746052336.86,0,0,269.5
1746052338.84,0,0,267.5
1746052340.82,0,0,267.5
1746052342.84,0,0,274.5
1746052344.84,0,0,302.5
1746052346.84,0,0,282.0
1746052348.84,0,0,274.5
1746052350.82,0,0,274.5
1746052352.84,0,0,270.5
1746052354.84,0,0,288.5
1746052356.84,0,0,266.5
1746052358.84,0,0,275.0
1746052360.81,0,0,275.0
1746052362.84,0,0,270.0
1746052364.84,0,0,301.0
1746052366.81,0,0,301.0
1746052368.85,0,0,327.5
1746052370.84,0,0,284.5
