Time,Latitude,Longitude,counts
1746054079.09,0,0,28837.0
1746054081.08,0,0,290.5
1746054083.07,0,0,283.5
1746054085.05,0,0,283.5
1746054087.08,0,0,297.5
1746054089.09,0,0,297.5
1746054091.08,0,0,297.5
1746054093.06,0,0,297.5
1746054095.08,0,0,292.5
1746054097.08,0,0,293.5
1746054099.08,0,0,296.0
1746054101.08,0,0,314.0
1746054103.05,0,0,314.0
1746054105.08,0,0,294.0
1746054107.1,0,0,295.0
1746054109.08,0,0,308.5
1746054111.08,0,0,280.5
1746054113.06,0,0,280.5
1746054115.08,0,0,297.5
1746054117.08,0,0,296.5
1746054119.08,0,0,316.5
1746054121.08,0,0,261.5
1746054123.05,0,0,261.5
1746054125.09,0,0,297.0
1746054127.08,0,0,285.0
1746054129.07,0,0,321.0
1746054131.05,0,0,321.0
1746054133.07,0,0,313.0
1746054135.07,0,0,276.0
1746054137.11,0,0,291.5
1746054139.08,0,0,284.0
1746054141.05,0,0,284.0
1746054143.09,0,0,308.5
1746054145.08,0,0,293.0
1746054147.08,0,0,318.0
1746054149.08,0,0,296.0
1746054151.05,0,0,296.0
1746054153.08,0,0,309.0
1746054155.08,0,0,311.0
1746054157.08,0,0,302.0
1746054159.05,0,0,302.0
1746054161.09,0,0,302.5
1746054163.08,0,0,305.0
1746054165.07,0,0,308.5
1746054167.08,0,0,285.5
1746054169.05,0,0,285.5
1746054171.07,0,0,299.5
1746054173.08,0,0,291.0
1746054175.08,0,0,303.5
1746054177.05,0,0,303.5
1746054179.09,0,0,296.5
1746054181.08,0,0,311.0
1746054183.08,0,0,280.5
1746054185.08,0,0,302.0
1746054187.05,0,0,302.0
1746054189.08,0,0,298.0
1746054191.08,0,0,327.0
1746054193.08,0,0,303.0
1746054195.08,0,0,294.0
1746054197.06,0,0,294.0
