Time,Latitude,Longitude,counts
1746053635.68,0,0,257.5
1746053637.65,0,0,277.0
1746053639.65,0,0,277.0
1746053641.65,0,0,273.0
1746053643.65,0,0,279.0
1746053645.65,0,0,256.0
1746053647.65,0,0,271.5
1746053649.64,0,0,271.5
1746053651.65,0,0,257.5
1746053653.65,0,0,259.5
1746053655.65,0,0,234.0
1746053657.63,0,0,234.0
1746053659.65,0,0,252.5
1746053661.65,0,0,268.0
1746053663.65,0,0,256.5
1746053665.65,0,0,265.0
1746053667.64,0,0,265.0
1746053669.65,0,0,269.0
1746053671.65,0,0,238.5
1746053673.66,0,0,289.5
1746053675.63,0,0,289.5
1746053677.65,0,0,259.0
1746053679.65,0,0,260.5
1746053681.66,0,0,254.0
1746053683.65,0,0,264.5
1746053685.62,0,0,264.5
1746053687.65,0,0,237.5
1746053689.65,0,0,255.5
1746053691.67,0,0,264.0
1746053693.65,0,0,252.0
1746053695.63,0,0,252.0
1746053697.65,0,0,267.0
1746053699.65,0,0,257.0
1746053701.66,0,0,257.5
1746053703.63,0,0,257.5
1746053705.65,0,0,263.0
1746053707.65,0,0,271.0
1746053709.65,0,0,264.0
1746053711.65,0,0,249.0
1746053713.63,0,0,249.0
1746053715.65,0,0,261.0
1746053717.65,0,0,258.5
1746053719.65,0,0,271.0
1746053721.65,0,0,259.0
1746053723.63,0,0,259.0
1746053725.65,0,0,256.0
1746053727.65,0,0,271.5
1746053729.65,0,0,266.5
1746053731.63,0,0,266.5
1746053733.65,0,0,265.5
1746053735.65,0,0,281.5
1746053737.65,0,0,295.5
1746053739.64,0,0,295.5
1746053741.66,0,0,240.5
1746053743.65,0,0,241.5
1746053745.65,0,0,272.0
1746053747.65,0,0,257.0
1746053749.63,0,0,257.0
1746053751.67,0,0,269.0
1746053753.65,0,0,262.0
