Time,Latitude,Longitude,counts
1746053419.8,0,0,252.5
1746053421.76,0,0,252.5
1746053423.77,0,0,254.0
1746053425.78,0,0,252.5
1746053427.78,0,0,266.5
1746053429.82,0,0,254.5
1746053431.75,0,0,254.5
1746053433.78,0,0,250.5
1746053435.77,0,0,247.0
1746053437.82,0,0,271.0
1746053439.75,0,0,271.0
1746053441.78,0,0,255.5
1746053443.77,0,0,269.5
1746053445.77,0,0,226.0
1746053447.79,0,0,258.0
1746053449.76,0,0,258.0
1746053451.78,0,0,260.5
1746053453.78,0,0,249.5
1746053455.77,0,0,264.5
1746053457.77,0,0,267.5
1746053459.75,0,0,267.5
1746053461.77,0,0,272.0
1746053463.78,0,0,245.0
1746053465.79,0,0,252.5
1746053467.78,0,0,261.5
1746053469.75,0,0,261.5
1746053471.78,0,0,246.0
1746053473.78,0,0,264.0
1746053475.77,0,0,261.0
1746053477.77,0,0,251.5
1746053479.77,0,0,251.5
1746053481.78,0,0,244.0
1746053483.79,0,0,259.0
1746053485.77,0,0,235.0
1746053487.76,0,0,235.0
1746053489.77,0,0,263.5
1746053491.78,0,0,253.0
1746053493.79,0,0,250.5
1746053495.78,0,0,249.0
1746053497.76,0,0,249.0
1746053499.78,0,0,259.0
1746053501.79,0,0,246.0
1746053503.78,0,0,267.5
1746053505.75,0,0,267.5
1746053507.8,0,0,246.5
1746053509.77,0,0,258.5
1746053511.78,0,0,255.0
1746053513.77,0,0,271.0
1746053515.76,0,0,271.0
1746053517.79,0,0,253.5
1746053519.79,0,0,270.0
1746053521.78,0,0,251.5
1746053523.78,0,0,256.5
1746053525.79,0,0,256.5
1746053527.77,0,0,247.0
1746053529.77,0,0,252.0
1746053531.77,0,0,242.5
1746053533.76,0,0,242.5
1746053535.77,0,0,257.5
1746053537.79,0,0,263.0
