Time,Latitude,Longitude,counts
1746050967.75,0,0,137.5
1746050969.74,0,0,277.0
1746050971.74,0,0,294.0
1746050973.74,0,0,274.5
1746050975.74,0,0,265.0
1746050977.73,0,0,265.0
1746050979.74,0,0,285.0
1746050981.74,0,0,262.0
1746050983.74,0,0,278.5
1746050985.72,0,0,278.5
1746050987.74,0,0,289.5
1746050989.74,0,0,269.0
1746050991.74,0,0,289.5
1746050993.75,0,0,293.0
1746050995.72,0,0,293.0
1746050997.74,0,0,290.0
1746050999.74,0,0,268.5
1746051001.74,0,0,273.0
1746051003.74,0,0,291.0
1746051005.72,0,0,291.0
1746051007.74,0,0,273.0
1746051009.75,0,0,272.0
1746051011.74,0,0,263.5
1746051013.72,0,0,263.5
1746051015.74,0,0,285.0
1746051017.74,0,0,279.0
1746051019.75,0,0,261.0
1746051021.74,0,0,269.0
1746051023.72,0,0,269.0
1746051025.74,0,0,281.5
1746051027.74,0,0,291.0
1746051029.74,0,0,273.0
1746051031.74,0,0,262.0
1746051033.72,0,0,262.0
1746051035.74,0,0,260.5
1746051037.74,0,0,259.0
1746051039.74,0,0,269.5
1746051041.72,0,0,269.5
1746051043.74,0,0,272.0
1746051045.74,0,0,275.5
1746051047.74,0,0,267.0
1746051049.74,0,0,275.0
1746051051.73,0,0,275.0
1746051053.74,0,0,297.0
1746051055.74,0,0,289.0
1746051057.74,0,0,284.5
1746051059.74,0,0,265.0
1746051061.72,0,0,265.0
1746051063.74,0,0,270.0
1746051065.74,0,0,269.5
1746051067.74,0,0,293.5
1746051069.72,0,0,293.5
1746051071.75,0,0,275.0
1746051073.74,0,0,266.0
1746051075.74,0,0,269.5
1746051077.74,0,0,289.5
1746051079.72,0,0,289.5
1746051081.74,0,0,275.0
1746051083.74,0,0,273.0
1746051085.75,0,0,268.0
