Time,Latitude,Longitude,counts
1746051885.99,0,0,89.5
1746051888.02,0,0,86.0
1746051889.99,0,0,80.0
1746051891.99,0,0,88.5
1746051893.97,0,0,88.5
1746051895.99,0,0,85.0
1746051898.01,0,0,91.5
1746051899.99,0,0,95.5
1746051901.97,0,0,95.5
1746051903.99,0,0,95.5
1746051905.99,0,0,88.5
1746051907.99,0,0,89.0
1746051909.99,0,0,83.5
1746051911.97,0,0,83.5
1746051914.02,0,0,92.0
1746051915.99,0,0,85.5
1746051918.01,0,0,79.0
1746051919.99,0,0,87.5
1746051921.97,0,0,87.5
1746051923.99,0,0,84.5
1746051925.99,0,0,80.0
1746051927.99,0,0,88.5
1746051929.99,0,0,82.0
1746051931.96,0,0,82.0
1746051933.99,0,0,89.0
1746051935.99,0,0,94.0
1746051937.99,0,0,91.0
1746051939.97,0,0,91.0
1746051941.99,0,0,92.5
1746051944.0,0,0,92.0
1746051945.99,0,0,84.0
1746051947.99,0,0,92.0
1746051949.97,0,0,92.0
1746051951.99,0,0,94.0
1746051954.0,0,0,91.5
1746051955.99,0,0,89.0
1746051957.99,0,0,80.5
1746051959.98,0,0,80.5
1746051961.99,0,0,93.5
1746051963.99,0,0,84.0
1746051966.0,0,0,85.0
1746051967.97,0,0,85.0
1746051969.99,0,0,87.0
1746051971.99,0,0,84.0
1746051974.0,0,0,86.0
1746051975.99,0,0,90.0
1746051977.97,0,0,90.0
1746051979.99,0,0,87.0
1746051981.99,0,0,87.0
1746051983.99,0,0,80.5
1746051985.99,0,0,92.0
1746051987.96,0,0,92.0
1746051989.99,0,0,94.5
1746051991.99,0,0,95.0
1746051993.99,0,0,97.5
1746051995.97,0,0,97.5
1746051997.99,0,0,88.0
1746051999.99,0,0,82.0
1746052001.99,0,0,81.5
