Time,Latitude,Longitude,counts
1746051725.54,0,0,134.0
1746051727.54,0,0,136.5
1746051729.54,0,0,133.5
1746051731.52,0,0,133.5
1746051733.54,0,0,130.5
1746051735.54,0,0,124.5
1746051737.54,0,0,131.5
1746051739.54,0,0,119.0
1746051741.52,0,0,119.0
1746051743.55,0,0,148.0
1746051745.54,0,0,129.5
1746051747.54,0,0,127.5
1746051749.52,0,0,127.5
1746051751.54,0,0,125.5
1746051753.54,0,0,118.5
1746051755.54,0,0,138.5
1746051757.54,0,0,121.5
1746051759.51,0,0,121.5
1746051761.54,0,0,126.5
1746051763.54,0,0,119.5
1746051765.54,0,0,118.0
1746051767.55,0,0,124.0
1746051769.52,0,0,124.0
1746051771.54,0,0,134.5
1746051773.54,0,0,121.5
1746051775.54,0,0,117.5
1746051777.54,0,0,132.5
1746051779.53,0,0,132.5
1746051781.54,0,0,118.0
1746051783.55,0,0,134.5
1746051785.54,0,0,127.0
1746051787.52,0,0,127.0
1746051789.54,0,0,127.5
1746051791.54,0,0,142.5
1746051793.54,0,0,128.5
1746051795.54,0,0,112.5
1746051797.53,0,0,112.5
1746051799.54,0,0,125.5
1746051801.54,0,0,131.5
1746051803.55,0,0,132.0
1746051805.52,0,0,132.0
1746051807.54,0,0,130.5
1746051809.54,0,0,128.0
1746051811.54,0,0,131.5
1746051813.54,0,0,149.5
1746051815.51,0,0,149.5
1746051817.54,0,0,135.5
1746051819.54,0,0,121.5
1746051821.54,0,0,124.0
1746051823.54,0,0,125.0
1746051825.53,0,0,125.0
1746051827.54,0,0,132.5
1746051829.54,0,0,131.0
1746051831.54,0,0,130.0
1746051833.53,0,0,130.0
1746051835.54,0,0,139.0
1746051837.54,0,0,136.0
1746051839.55,0,0,125.0
1746051841.54,0,0,121.5
