Time,Latitude,Longitude,counts
1746054864.09,0,0,289.0
1746054866.08,0,0,292.5
1746054868.08,0,0,296.0
1746054870.05,0,0,296.0
1746054872.08,0,0,269.0
1746054874.08,0,0,254.5
1746054876.09,0,0,267.0
1746054878.06,0,0,267.0
1746054880.08,0,0,285.5
1746054882.08,0,0,280.5
1746054884.08,0,0,282.5
1746054886.08,0,0,266.5
1746054888.06,0,0,266.5
1746054890.08,0,0,252.0
1746054892.07,0,0,292.0
1746054894.09,0,0,273.0
1746054896.08,0,0,289.0
1746054898.05,0,0,289.0
1746054900.08,0,0,281.0
1746054902.08,0,0,281.5
1746054904.08,0,0,284.0
1746054906.07,0,0,284.0
1746054908.08,0,0,295.5
1746054910.08,0,0,267.5
1746054912.09,0,0,294.5
1746054914.09,0,0,263.5
1746054916.06,0,0,263.5
1746054918.08,0,0,291.0
1746054920.09,0,0,263.0
1746054922.08,0,0,285.5
1746054924.09,0,0,274.5
1746054926.05,0,0,274.5
1746054928.08,0,0,276.0
1746054930.09,0,0,268.5
1746054932.08,0,0,299.5
1746054934.07,0,0,299.5
1746054936.08,0,0,271.0
1746054938.08,0,0,292.0
1746054940.08,0,0,273.5
1746054942.07,0,0,270.0
1746054944.06,0,0,270.0
1746054946.08,0,0,282.0
1746054948.09,0,0,289.5
1746054950.13,0,0,279.5
1746054952.08,0,0,282.5
1746054954.05,0,0,282.5
1746054956.08,0,0,292.5
1746054958.08,0,0,267.5
1746054960.08,0,0,281.0
1746054962.08,0,0,267.5
1746054964.06,0,0,267.5
1746054966.1,0,0,278.0
1746054968.08,0,0,285.0
1746054970.08,0,0,264.5
1746054972.05,0,0,264.5
1746054974.08,0,0,273.0
1746054976.08,0,0,278.0
1746054978.07,0,0,297.0
1746054980.08,0,0,270.0
1746054982.07,0,0,270.0
