Time,Latitude,Longitude,counts
1746054707.97,0,0,279.0
1746054709.95,0,0,264.5
1746054711.93,0,0,264.5
1746054713.98,0,0,276.5
1746054715.95,0,0,286.5
1746054717.95,0,0,266.5
1746054719.93,0,0,266.5
1746054721.95,0,0,272.5
1746054723.95,0,0,272.5
1746054725.95,0,0,268.5
1746054727.95,0,0,275.5
1746054729.93,0,0,275.5
1746054731.95,0,0,277.5
1746054733.95,0,0,299.5
1746054735.95,0,0,301.0
1746054737.96,0,0,305.0
1746054739.95,0,0,305.0
1746054741.95,0,0,307.5
1746054743.95,0,0,300.0
1746054745.95,0,0,280.5
1746054747.93,0,0,280.5
1746054749.95,0,0,296.0
1746054751.95,0,0,287.0
1746054753.95,0,0,306.5
1746054755.95,0,0,290.0
1746054757.93,0,0,290.0
1746054759.95,0,0,286.0
1746054761.95,0,0,284.5
1746054763.95,0,0,271.0
1746054765.96,0,0,271.5
1746054767.93,0,0,271.5
1746054769.95,0,0,292.0
1746054771.95,0,0,303.0
1746054773.95,0,0,311.5
1746054775.93,0,0,311.5
1746054777.96,0,0,274.5
1746054779.95,0,0,284.0
1746054781.95,0,0,263.5
1746054783.95,0,0,289.0
1746054785.94,0,0,289.0
1746054787.95,0,0,279.0
1746054789.95,0,0,281.5
1746054791.95,0,0,286.5
1746054793.95,0,0,294.0
1746054795.93,0,0,294.0
1746054797.95,0,0,265.0
1746054799.95,0,0,278.0
1746054801.95,0,0,270.0
1746054803.93,0,0,270.0
1746054805.95,0,0,285.0
1746054807.95,0,0,274.0
1746054809.95,0,0,288.0
1746054811.97,0,0,282.5
1746054813.93,0,0,282.5
1746054815.95,0,0,293.5
1746054817.95,0,0,284.0
1746054819.95,0,0,281.0
1746054821.95,0,0,279.5
1746054823.94,0,0,279.5
1746054825.95,0,0,279.0
