Time,Latitude,Longitude,counts
1746054536.49,0,0,314.0
1746054538.47,0,0,273.0
1746054540.47,0,0,297.5
1746054542.45,0,0,297.5
1746054544.48,0,0,296.5
1746054546.48,0,0,319.0
1746054548.47,0,0,310.0
1746054550.46,0,0,310.0
1746054552.48,0,0,293.0
1746054554.48,0,0,279.5
1746054556.48,0,0,293.5
1746054558.49,0,0,280.5
1746054560.46,0,0,280.5
1746054562.48,0,0,288.5
1746054564.48,0,0,282.5
1746054566.48,0,0,283.0
1746054568.48,0,0,295.5
1746054570.46,0,0,295.5
1746054572.48,0,0,295.5
1746054574.48,0,0,290.0
1746054576.48,0,0,303.5
1746054578.47,0,0,303.5
1746054580.47,0,0,286.5
1746054582.48,0,0,304.5
1746054584.48,0,0,280.0
1746054586.48,0,0,287.0
1746054588.45,0,0,287.0
1746054590.48,0,0,283.0
1746054592.48,0,0,292.5
1746054594.48,0,0,297.0
1746054596.48,0,0,270.5
1746054598.45,0,0,270.5
1746054600.48,0,0,289.0
1746054602.48,0,0,288.0
1746054604.48,0,0,300.0
1746054606.48,0,0,284.5
1746054608.45,0,0,284.5
1746054610.48,0,0,281.0
1746054612.48,0,0,309.5
1746054614.48,0,0,266.5
1746054616.49,0,0,284.0
1746054618.46,0,0,284.0
1746054620.48,0,0,296.5
1746054622.47,0,0,265.5
1746054624.48,0,0,282.0
1746054626.46,0,0,282.0
1746054628.48,0,0,273.0
1746054630.48,0,0,284.0
1746054632.47,0,0,296.0
1746054634.48,0,0,308.5
1746054636.46,0,0,308.5
1746054638.48,0,0,310.5
1746054640.48,0,0,313.5
1746054642.48,0,0,290.5
1746054644.48,0,0,315.0
1746054646.48,0,0,315.0
1746054648.48,0,0,282.0
1746054650.48,0,0,288.5
1746054652.48,0,0,279.5
1746054654.45,0,0,279.5
